ESSAY_ID,PRAISE_ADVICE,EXAMPLE_THESIS,EXPLAIN_EXAMPLE
001,"Your thesis statement is good so far, but it can be improved as follows:","This essay argues that wearable fitness devices can help students build healthier routines by increasing awareness of sleep and exercise, but they should be used carefully because long-term behavior change is limited, privacy is at risk, and sleep tracking can create stress.","This example keeps the main idea and the writer's opinion, gives a clear goal with the verb 'argues,' and previews the body topics: awareness, limited long-term change, privacy, and stress."
002,"Your introduction is coming along nicely, but you need to work on your thesis statement. Try this:","This essay argues that part-time jobs are helpful for students when they are balanced carefully because they reduce financial pressure and build practical skills, but excessive work hours can harm academic performance.","This example gives the main idea of the essay, states a clear goal with 'argues,' previews the body topics of money, skills, and academic pressure, and shows the writer's opinion that balanced work is beneficial."
003,"Your thesis statement is good so far, but it can be improved as follows:","This essay argues that AI should be integrated into education as a guided support tool because it can reduce teacher workload and expand learning support, but it requires clear rules and training to prevent cheating, overreliance, and inequality.","This example keeps the main idea and opinion, adds a clear goal with 'argues,' and previews the main body topics: teacher support, risks such as cheating and overreliance, and the need for policy and training."
004,"Your introduction is coming along nicely, but you need to work on your thesis statement. Try this:","This essay argues that social media should be treated as a powerful but risky part of adolescent life because it can support connection and self-expression, but excessive use and harmful design can damage mental health.","This example gives the main idea, uses the clear goal verb 'argues,' previews the body topics of benefits and harms, and shows the writer's opinion that a balanced view is more accurate than either extreme."
005,"Your thesis statement is good so far, but it can be improved as follows:","This essay argues that school uniforms may support routine and school identity, but they are not a strong solution to educational problems because research shows limited academic benefits, added costs for families, and restrictions on student comfort and self-expression.","This example keeps the essay's main idea and opinion, adds a clear goal with 'argues,' and previews the body topics: limited academic benefits, family cost, and reduced comfort and self-expression."
006,"Your thesis statement is good so far, but it can be improved as follows:","This essay argues that club activities should be encouraged because they build school connection and support students' social and emotional development, but they do not automatically improve academics and can become harmful when students are overscheduled.","This example keeps the main idea and opinion, adds a clear goal with 'argues,' and previews the body topics: belonging, social and emotional benefits, limited academic gains, and the risks of overscheduling."
007,"Your thesis statement is good so far, but it can be improved as follows:","This essay argues that convenience stores remain important in urban and low-access neighborhoods because they save time, improve nearby access to food and basic goods, and support local community needs, even though they cannot fully solve the problem of healthy food availability.","This example keeps the main idea, clear goal, previewed topics, and writer's opinion while making the claim more precise. It clearly signals the body topics of time, food access, community needs, and the limitation of weak healthy food variety."
008,"Your introduction is coming along nicely, but you need to work on your thesis statement. Try this:","This essay argues that anime and manga are valuable because they function as a major global creative industry and a source of cultural connection, but their success also depends on an exhausting production system that can limit creators and creative risk.","This example gives the main idea, uses the clear goal verb 'argues,' previews the body topics of global business, cultural connection, and creator pressure, and shows the writer's opinion that the industry has both value and serious costs."
009,"Your thesis statement is good so far, but it can be improved as follows:","This essay argues that video games can be beneficial when they are played in moderation because they may strengthen cognitive skills and social relationships, but they require limits when gaming begins to harm sleep, school performance, or healthy routines.","This example keeps the main idea, writer's opinion, and previewed topics, and it uses the clear goal verb 'argues.' It clearly points to the body topics of cognitive benefits, social benefits, and the risks of excessive play."
010,"Your thesis statement is good so far, but it can be improved as follows:","This essay argues that music festivals remain valuable because they build cultural community and generate local economic benefits, but they deserve support only when organizers address environmental damage and long-term financial pressure responsibly.","This example keeps the writer's opinion and adds a stronger main idea, a clear goal with 'argues,' and a preview of the main body topics: community, economic value, environmental harm, and financial sustainability."
