ESSAY_ID,PARA_NUM,SENTENCE,COHERENCE,COMMENT
001,1,Wearable fitness devices can help healthier lifestyles by helping students monitor important daily habits a lot.,satisfactory,The topic sentence clearly introduces the paragraph's main point.
001,1,"Many of these things help count steps, record physical activity, and give reminders to move a lot during the day.",satisfactory,This sentence follows naturally by listing the devices' functions.
001,1,"In addition, sleep tracking can help students notice patterns in bedtime, waking time, and rest quality.",satisfactory,"""In addition"" clearly signals another supporting point."
001,1,"According to Knaus (2025), sleep trackers can help habits and help users identify things that influence rest, such as exercise or caffeine.",satisfactory,The source-based example connects clearly to the previous point about sleep tracking.
001,1,This kind of information may help students to make good changes in their routines.,satisfactory,This sentence clearly explains the effect of the previous evidence.
001,1,Wearable devices can cause problems with blood pressure.,add a contrast,If this shift to a negative point is kept, add a contrast connector such as "However" to signal the change.
001,1,"Wearable devices Wikipedia contributors (2026) also note that wearable technology is used a lot for health and fitness purposes, which shows that these devices are often linked to self-monitoring and personal improvement.",satisfactory,The word "also" shows addition and reconnects to supporting evidence.
001,1,"Therefore, wearable devices can be helpful because they make health information more visible in everyday life.",satisfactory,"""Therefore"" clearly signals the paragraph's concluding result."
001,2,Wearable devices are also useful because they can reveal a lot of real patterns in student life that might be ignored.,satisfactory,The topic sentence clearly introduces the paragraph's main point.
001,2,"I believe that sleep enough or exercise enough, but data from wearable devices show me a different things.",satisfactory,The contrast within the sentence makes the point about perception versus data clear.
001,2,"In one study, first-semester college students and found late sleep schedules, social jetlag, and signs of chronic sleep debt through wearable data.",use elaboration words,"Add an elaboration connector such as ""For example"" before this sentence to introduce the study more smoothly."
001,2,"I agree because sometimes I don't eat breakfast in the morning.",use elaboration words,"If this personal example is kept, add an elaboration phrase such as ""For example,"" to show how it relates to the previous sentence."
001,2,"This finding is useful because it suggests that students often feel hard with rest even when they do not fully know the problem.",satisfactory,"""This finding"" clearly links back to the study evidence."
001,2,"Better awareness of sleep and activity patterns may help students improve focus, mood, and energy for study.",add an addition connector,"Add a connector such as ""Furthermore"" to show this sentence adds another benefit."
001,2,Its device can give students useful evidence about habits that affect learning.,satisfactory,This sentence continues the explanation of how awareness supports learning.
001,2,"In this way, wearable devices may support student success indirectly through greater self-awareness.",satisfactory,"""In this way"" clearly signals the concluding link."
001,3,"However, wearable fitness devices also have serious limitations.",satisfactory,"""However"" clearly signals contrast with the earlier positive paragraphs."
001,3,"First, they do not automatically create lasting behavior change.",satisfactory,"""First"" clearly introduces the first limitation."
001,3,"Oaklander (2016) reported that many people stop using fitness trackers over time, which suggests that the device alone is not enough to build long-term healthy habits.",satisfactory,The evidence clearly supports the previous claim.
001,3,"Second, wearable devices collect personal data, and this creates privacy concerns.",satisfactory,"""Second"" clearly introduces another limitation."
001,3,"Reed (2026) explained that connecting wearable information with medical records can expose sensitive health data and increase uncertainty about how such data is used.",satisfactory,The evidence clearly supports the privacy concern.
001,3,"Finally, sleep tracking may create unnecessary anxiety instead of improving health.",satisfactory,"""Finally"" clearly introduces the last limitation."
001,3,"Colino (2025) described the problem of ""orthosomnia,"" in which people become so focused on perfect sleep scores that the pressure itself harms sleep.",satisfactory,The source-based example clearly elaborates the anxiety point.
001,3,Wearable devices should be treated as helpful tools rather than perfect guides.,show cause and effect,"Add a result phrase such as ""For this reason,"" to show the recommendation follows from the previous evidence."
002,1,Part-time jobs can first help students manage the financial pressure of education.,satisfactory,The topic sentence clearly introduces the paragraph's main point.
002,1,Many students work not just for spending money.,satisfactory,This sentence follows logically by explaining student motivation.
002,1,"But need help covering rent, transport, food, and other daily costs.",show reason,"Add a reason phrase such as ""but because they need help covering rent, transport, food, and other daily costs"" to complete the connection to the previous sentence."
002,1,I also like watching movies in my spare time.,use elaboration words,"If this sentence were kept, it would need an elaboration phrase such as ""For example,"" but it still does not fit the paragraph."
002,1,"Reporting on a big survey of undergraduate in the United Kingdom, *The Guardian* said that many working students said they were employed to meet living costs, which shows that paid work is often important rather than a lifestyle choice (The Guardian, 2024a).",satisfactory,This source-based evidence clearly supports the financial-pressure point.
002,1,"In the United States, Federal Student Aid (n.d.) said the existence of Federal Work-Study also shows that student employment is officially recognized as one way to support education costs.",satisfactory,This sentence adds another piece of supporting evidence.
