ESSAY_ID,CLEAR_TOPIC,SUFFICIENT_CONTEXT,RELEVANCE_HIGHLIGHTED,SPECIFIC_FOCUS_IDENTIFIED,TOPIC,ESSAY_CONTEXT,RELEVANCE,FOCUS
001,1,1,1,1,wearable devices and student health habits,"wearable devices such as smartwatches and fitness bands are common among young people and can track steps, exercise, and sleep","students may use wearable devices to build healthier routines, but there are questions about whether they really improve daily habits","wearable fitness devices can raise awareness of sleep and exercise habits, but they should be used carefully because of limited long-term behavior change, privacy concerns, and possible stress"
002,0,0,0,0,"","","",""
003,1,1,0,1,artificial intelligence in education,"AI has entered education rapidly, changing discussion about lesson planning, tutoring, cheating, and classroom work","","AI should be integrated into education"
004,1,1,0,0,social media and adolescent well-being,"social media is a normal part of adolescent life and shapes how teenagers communicate, relax, and learn about the world","",""
005,1,0,0,1,school uniforms,"","","school uniforms can support people's lives really well"
006,1,1,1,1,club activities in school,"club activities may seem secondary to formal lessons but often shape how students feel about school and themselves","club activities matter because some of the most important lessons in school happen after class ends","club activities do not automatically raise academic performance, but they should be encouraged"
007,1,1,1,1,convenience stores and everyday food access,"convenience stores are common in neighborhoods, often criticized for unhealthy and expensive items, but they fill a practical gap where supermarkets are harder to reach","many communities rely on convenience stores for groceries, drinks, and household goods close to home","convenience stores remain important in urban and low-access neighborhoods because they save time, support local food access, and can serve community needs"
008,1,0,0,0,anime and manga,"","",""
009,1,1,1,1,video games and the value of moderation,"video games are common for children and teenagers, but public discussion about them is often extreme and polarized","it matters whether games are harmful distractions or useful creative and social tools in daily life","video games can be beneficial when played in moderation because they can support cognitive skills and social relationships, but they need limits when they interfere with sleep, school, or healthy routines"
010,1,0,1,1,music festivals,"","recent reporting shows that festivals create waste, emissions, and financial pressure for organizers and host communities","music festivals are essential for the community"
