ESSAY_ID,REFERENCE,CORRESPONDING_CITATION
001,"Fudolig, M. I., Bloomfield, L. S. P., Price, M., Bird, Y. M., Hidalgo, J. E., Kim, J., Llorin, J., Lovato, J., McGinnis, E. W., McGinnis, R. S., Ricketts, T., Stanton, K., Dodds, P. S., & Danforth, C. M. (2024). *Collective sleep and activity patterns of college students from wearable devices* [Preprint]. arXiv. https://arxiv.org/abs/2412.17969",0
001,"Knaus, C. (2025, October 20). *The rise of the sleep data nerds: ""The harder you try, the harder it is to sleep""*. The Guardian. https://www.theguardian.com/lifeandstyle/2025/oct/20/smart-watch-wearable-sleep-trackers-data-harder-to-sleep",1
001,"Oaklander, M. (2016, October 20). *Why fitness trackers aren't making us healthier*. TIME. https://time.com/4540110/why-fitness-trackers-arent-making-us-healthier/",1
001,"Reed, T. (2026, June 25). *The perils of connecting wearables with medical records*. Axios. https://www.axios.com/2026/06/25/wearables-medical-records-privacy",1
001,"Wikipedia contributors. (2026, May 15). *Wearable technology*. In *Wikipedia*. https://en.wikipedia.org/wiki/Wearable_technology",1
002,"The Guardian. (2024a, June 13). *More than half of UK students working long hours in paid jobs*. https://www.theguardian.com/education/article/2024/jun/13/more-than-half-of-uk-students-working-long-hours-in-paid-jobs",1
002,"The Guardian. (2024b, July 5). *Be frugal, have fun, stay focused: how to make ends meet as a student*. https://www.theguardian.com/guardian-clearing/article/2024/jul/05/be-frugal-have-fun-stay-focused-how-to-make-ends-meet-as-a-student",0
002,"Times of India. (2025, September 27). *5 things a part-time job can teach what a degree can't*. https://timesofindia.indiatimes.com/life-style/relationships/work/5-things-a-part-time-job-can-teach-what-a-degree-cant/photostory/124162483.cms",1
003,"AI Education Project. (2024). *aiEDU Pulse*. https://www.aiedu.org/pulse",1
003,"Malek Ash, A. (2025, June 25). *Three in 10 teachers use AI weekly, saving six weeks a year*. Gallup. https://news.gallup.com/poll/691967/three-teachers-weekly-saving-six-weeks-year.aspx",0
003,"Miao, F., & Holmes, W. (2023). *Guidance for generative AI in education and research*. UNESCO. https://www.unesco.org/en/articles/guidance-generative-ai-education-and-research",1
004,"Alluhidan, A., Akter, M., Alsoubai, A., Park, J., & Wisniewski, P. (2024). *Teen talk: The good, the bad, and the neutral of adolescent social media use* [Preprint]. arXiv. https://arxiv.org/abs/2409.02358",1
004,"*The Washington Post*. (2025, April 25). *Even some teens say social media is hurting their mental health*. https://www.washingtonpost.com/lifestyle/2025/04/25/teens-mental-health-social-media/",0
005,"Brunsma, D. L., & Rockquemore, K. A. (1998). Effects of student uniforms on attendance, behavior problems, substance use, and academic achievement. *The Journal of Educational Research, 92*(1), 53-62.",1
005,"Piquet, C. (2026, May 15). *School uniforms have 'limited effects on student behavior and learning,' French experiment reveals*. Le Monde. https://www.lemonde.fr/en/france/article/2026/05/15/school-uniforms-have-limited-effects-on-student-behavior-and-learning-according-to-initial-reports-in-french-experiment_6753469_7.html",1
005,"Weale, S. (2024, February 15). *School uniforms may be barrier to physical activity among younger girls*. The Guardian. https://www.theguardian.com/education/2024/feb/15/school-uniforms-may-be-barrier-to-physical-activity-among-younger-girls",1
006,"Fagan, M. J., Duncan, M. J., Bedi, R. P., Puterman, E., Leatherdale, S. T., & Faulkner, G. (2022). Physical activity and substance use among Canadian adolescents: Examining the moderating role of school connectedness. *Frontiers in Public Health, 10*, Article 889987. https://doi.org/10.3389/fpubh.2022.889987",1
006,"Lemkin, A., Kistin, C. J., Cabral, H. J., Aschengrau, A., & Bair-Merritt, M. (2018). School connectedness and high school graduation among maltreated youth. *Child Abuse & Neglect, 75*, 130-138. https://doi.org/10.1016/j.chiabu.2017.04.023",1
007,"McCormack, L. A., Meendering, J. R., Burdette, L., Prosch, N., Moore, L., & Stluka, S. (2021). Quantifying the food and physical activity environments in rural, high obesity communities. *International Journal of Environmental Research and Public Health, 18*(24), 13344. https://doi.org/10.3390/ijerph182413344",1
007,"U.S. Department of Agriculture, Economic Research Service. (2025, September 23). *Food Access Research Atlas*. https://www.ers.usda.gov/data-products/food-access-research-atlas/",1
008,"Anime Tourism Association. (n.d.). *Anime tourism association overview*. https://animetourism88.com/en/about-en/animetourismassociation-en/",1
008,"Financial Times. (2025, June 5). *Sony turns anime from fandom to financials*. https://www.ft.com/content/a04b279a-ea19-4982-b2e5-f7f4630859cb",1
009,"Fitzpatrick, A. (2024, May 9). *Friendships, problem-solving: How video games are helping U.S. teens*. Axios. https://www.axios.com/2024/05/09/video-games-benefits-teens-mental-health-friendships",0
009,"Mayer, B. A. (2022, October 27). *Study shows video games can offer benefits to kids' brains*. Parents. https://www.parents.com/study-shows-video-games-can-offer-benefits-to-kids-brains-6822498",1
009,"World Health Organization. (n.d.). *Gaming disorder*. https://www.who.int/standards/classifications/frequently-asked-questions/gaming-disorder",1
010,"Crossgrove Fry, V. (2025). *The economic impact of Treefort 2025*. Idaho Policy Institute, Boise State University. https://www.boisestate.edu/sps-ipi/wp-content/uploads/sites/125/2025/08/Economic-Impact-of-Treefort-2025.pdf",0
010,"Ottewill, J. (2026, February 2). *“Festivals generate 25,800 tonnes of waste, 22,876 tonnes of CO2 and use 185 million litres of water annually”: How Massive Attack set a new benchmark for the future of sustainable live music events*. *MusicRadar*. https://www.musicradar.com/artists/festivals-generate-25-800-tonnes-of-waste-22-876-tonnes-of-co2-and-use-185-million-litres-of-water-annually-how-massive-attack-set-a-new-benchmark-for-the-future-of-sustainable-live-music-events",1
010,"Thomas, L. (2023, April 21). *Can a music festival ever be truly sustainable?* *Vogue*. https://www.vogue.com/article/can-a-music-festival-ever-be-sustainable",1
