ESSAY_ID,PARA_NUM,SENTENCE,BEHAVIOR,COMMENT
001,1,Wearable fitness devices can help healthier lifestyles by helping students monitor important daily habits a lot.,topic sentence,Main idea: devices help students monitor health habits.
001,1,"Many of these things help count steps, record physical activity, and give reminders to move a lot during the day.",elaborates an earlier sentence,Gives examples of how the devices support health monitoring.
001,1,"In addition, sleep tracking can help students notice patterns in bedtime, waking time, and rest quality.",elaborates an earlier sentence,Adds another way the devices support healthy habits.
001,1,"According to Knaus (2025), sleep trackers can help habits and help users identify things that influence rest, such as exercise or caffeine.",elaborates an earlier sentence,Provides source-based support about sleep tracking.
001,1,This kind of information may help students to make good changes in their routines.,elaborates an earlier sentence,Explains the practical value of the tracked information.
001,1,Wearable devices can cause problems with blood pressure.,introduces a new idea,Introduces a new health-risk claim unrelated to the paragraph's positive focus.
001,1,"Wearable devices Wikipedia contributors (2026) also note that wearable technology is used a lot for health and fitness purposes, which shows that these devices are often linked to self-monitoring and personal improvement.",elaborates an earlier sentence,Returns to supporting evidence about health and fitness use.
001,1,"Therefore, wearable devices can be helpful because they make health information more visible in everyday life.",elaborates an earlier sentence,Concludes the paragraph's positive point.
001,2,Wearable devices are also useful because they can reveal a lot of real patterns in student life that might be ignored.,topic sentence,Main idea: devices reveal patterns in student life that students may miss.
001,2,"I believe that sleep enough or exercise enough, but data from wearable devices show me a different things.",elaborates an earlier sentence,Develops the point that personal perception can differ from device data.
001,2,"In one study, first-semester college students and found late sleep schedules, social jetlag, and signs of chronic sleep debt through wearable data.",elaborates an earlier sentence,Adds research evidence about hidden student sleep problems.
001,2,"I agree because sometimes I don't eat breakfast in the morning.",introduces a new idea,Introduces a personal breakfast example that does not support the paragraph's focus on wearable sleep/activity data.
001,2,"This finding is useful because it suggests that students often feel hard with rest even when they do not fully know the problem.",elaborates an earlier sentence,Explains the significance of the study finding.
001,2,"Better awareness of sleep and activity patterns may help students improve focus, mood, and energy for study.",elaborates an earlier sentence,Shows the possible benefits of that awareness.
001,2,Its device can give students useful evidence about habits that affect learning.,elaborates an earlier sentence,Adds another benefit of wearable evidence for learning habits.
001,2,"In this way, wearable devices may support student success indirectly through greater self-awareness.",elaborates an earlier sentence,Sums up how self-awareness supports student success.
001,3,"However, wearable fitness devices also have serious limitations.",topic sentence,Main idea: wearable devices have serious limitations.
001,3,"First, they do not automatically create lasting behavior change.",elaborates an earlier sentence,Introduces the first limitation.
001,3,"Oaklander (2016) reported that many people stop using fitness trackers over time, which suggests that the device alone is not enough to build long-term healthy habits.",elaborates an earlier sentence,Provides evidence for the weak long-term behavior-change claim.
001,3,"Second, wearable devices collect personal data, and this creates privacy concerns.",elaborates an earlier sentence,Introduces the second limitation.
001,3,"Reed (2026) explained that connecting wearable information with medical records can expose sensitive health data and increase uncertainty about how such data is used.",elaborates an earlier sentence,Provides evidence for the privacy concern.
001,3,"Finally, sleep tracking may create unnecessary anxiety instead of improving health.",elaborates an earlier sentence,Introduces the third limitation.
