word,freq
the,458820
of,242534
and,182754
to,182356
in,139145
a,127246
is,107360
that,77225
as,66042
be,56510
for,53993
this,53108
it,49011
are,41040
with,39877
by,38073
on,36051
was,35888
not,29845
which,28239
from,27649
an,27148
have,24793
can,22213
at,21726
or,21582
has,19642
their,18599
they,17845
were,17515
will,17495
more,17191
also,16522
there,16114
but,14650
would,14413
these,13011
one,12957
been,12665
we,12541
its,12235
such,12217
however,12190
his,12036
all,11812
other,11378
between,10907
when,10866
may,10856
if,10823
than,10745
he,10554
i,10283
only,10142
so,9988
had,9250
could,9051
into,9028
no,8943
used,8869
time,8800
some,8043
two,7953
therefore,7768
new,7653
different,7511
should,7469
then,7251
use,7201
being,7135
most,7094
both,7033
who,6959
many,6858
her,6831
where,6752
because,6749
them,6724
through,6703
what,6693
social,6473
about,6335
how,6298
people,6297
out,6266
system,6237
order,6233
each,6186
1,6136
any,6090
within,6036
first,5953
very,5807
p,5794
over,5590
2,5492
due,5370
way,5357
important,5357
example,5285
using,5198
up,5131
world,5090
do,5025
same,4867
well,4848
work,4842
does,4752
must,4679
even,4643
power,4634
found,4630
she,4627
women,4569
although,4545
high,4544
after,4494
made,4463
number,4450
state,4432
thus,4426
market,4389
case,4378
those,4353
data,4303
process,4290
see,4229
much,4158
theory,4154
value,4146
since,4142
during,3986
seen,3971
development,3971
our,3970
form,3955
model,3909
results,3902
law,3898
group,3807
possible,3807
need,3775
level,3770
political,3752
society,3726
make,3711
research,3689
us,3681
3,3668
information,3662
economic,3646
control,3613
part,3603
another,3587
further,3568
human,3551
et,3545
fact,3539
increase,3539
change,3530
life,3498
given,3456
al,3446
like,3431
result,3407
states,3382
often,3378
still,3367
analysis,3338
while,3334
language,3330
good,3324
point,3308
own,3276
less,3266
before,3254
three,3251
rate,3189
evidence,3185
years,3179
study,3172
2004,3131
rather,3113
based,3108
under,3099
figure,3091
able,3071
2003,3065
means,3034
international,3029
whether,3022
my,2999
values,2983
set,2980
did,2968
nature,2960
role,2944
effect,2914
large,2911
business,2866
higher,2851
without,2846
take,2843
2005,2843
shows,2836
main,2824
against,2818
countries,2818
individual,2786
shown,2777
following,2773
method,2769
just,2764
above,2743
now,2733
present,2727
terms,2713
2001,2708
product,2701
food,2673
2002,2662
company,2660
problem,2650
project,2648
structure,2632
factors,2631
approach,2605
government,2599
management,2596
production,2590
significant,2571
period,2570
provide,2557
small,2536
2000,2523
problems,2507
right,2505
place,2502
similar,2497
health,2495
growth,2488
taken,2485
4,2479
water,2477
history,2476
certain,2469
knowledge,2466
cannot,2455
increased,2426
upon,2424
general,2418
low,2407
support,2394
groups,2393
likely,2392
become,2389
policy,2387
according,2372
war,2356
particular,2352
area,2341
public,2337
class,2334
long,2333
you,2330
second,2324
common,2299
him,2289
relationship,2286
view,2278
trade,2268
considered,2258
ibid,2254
changes,2253
culture,2252
seems,2246
end,2227
idea,2226
cost,2222
needs,2218
around,2217
required,2214
men,2199
year,2197
children,2190
energy,2186
5,2185
products,2178
performance,2167
1999,2160
experience,2153
greater,2146
environment,2140
quality,2135
behaviour,2127
function,2125
might,2118
show,2113
future,2106
great,2103
act,2098
having,2070
areas,2069
current,2063
section,2059
making,2058
hence,2054
towards,2050
better,2041
cause,2034
amount,2031
levels,2019
population,2012
yet,2003
position,1999
lower,1990
local,1989
though,1986
too,1977
european,1974
uk,1971
line,1968
potential,1962
test,1962
species,1958
design,1951
sense,1946
best,1945
help,1941
per,1936
clear,1934
rights,1926
find,1923
customers,1922
early,1920
others,1898
interest,1893
give,1891
price,1891
known,1890
question,1885
10,1882
national,1878
itself,1877
suggests,1877
necessary,1875
body,1874
specific,1872
age,1870
v,1864
various,1857
conditions,1855
words,1849
here,1846
sample,1841
difficult,1840
labour,1839
pressure,1831
modern,1828
effects,1823
1998,1818
individuals,1817
c,1815
economy,1809
available,1809
reason,1805
range,1804
systems,1803
why,1801
again,1797
force,1796
understanding,1785
material,1778
methods,1775
london,1775
natural,1774
hand,1773
far,1766
account,1762
industry,1760
little,1757
whilst,1757
b,1753
issues,1750
positive,1749
type,1747
either,1743
risk,1741
report,1734
essay,1734
working,1733
down,1729
influence,1725
table,1721
demand,1713
major,1711
times,1708
concept,1704
light,1702
key,1702
always,1696
difference,1695
english,1692
every,1690
below,1688
community,1682
once,1679
importance,1675
increasing,1669
meaning,1668
especially,1665
associated,1661
themselves,1660
total,1660
compared,1659
situation,1654
factor,1653
financial,1651
strategy,1649
man,1649
involved,1648
country,1638
including,1638
developed,1636
negative,1633
lack,1631
ability,1631
term,1630
temperature,1626
university,1625
1997,1624
r,1624
output,1620
produce,1618
learning,1617
produced,1616
perhaps,1613
family,1610
impact,1608
ideas,1607
action,1606
despite,1604
flow,1599
particularly,1593
stage,1593
service,1591
several,1589
strong,1587
century,1587
lead,1584
appendix,1584
cases,1581
real,1579
person,1578
free,1570
costs,1570
provided,1568
whole,1561
cultural,1561
6,1558
past,1558
size,1557
solution,1554
focus,1553
studies,1548
addition,1546
thought,1546
m,1543
left,1542
argument,1541
four,1539
throughout,1533
include,1531
issue,1528
press,1527
global,1524
few,1518
true,1517
care,1516
extent,1508
experiment,1502
practice,1500
forms,1495
back,1488
clearly,1486
expected,1486
site,1486
get,1485
decision,1483
ie,1478
source,1476
employees,1475
eg,1473
physical,1470
until,1465
complex,1463
last,1455
later,1455
equation,1453
land,1448
points,1445
indeed,1442
american,1438
differences,1437
simply,1432
members,1430
makes,1429
capital,1429
create,1429
1995,1427
direct,1426
standard,1416
death,1415
treatment,1412
mean,1409
needed,1408
enough,1406
single,1405
s,1404
legal,1402
done,1396
resources,1393
error,1393
already,1388
activity,1376
appears,1376
field,1372
environmental,1367
consider,1365
context,1359
understand,1358
know,1357
disease,1357
gender,1356
instead,1353
created,1348
limited,1348
together,1343
movement,1342
success,1341
subject,1334
child,1332
ways,1332
1996,1331
companies,1330
feel,1326
cited,1326
caused,1324
oxford,1324
effective,1323
among,1321
successful,1321
led,1320
constant,1320
provides,1320
loss,1319
central,1316
furthermore,1314
cells,1314
services,1311
put,1306
applied,1306
2006,1303
personal,1301
relations,1301
called,1298
look,1297
female,1295
affect,1293
simple,1293
gives,1292
surface,1292
british,1290
traditional,1289
useful,1289
suggest,1288
moral,1283
education,1280
something,1279
least,1278
defined,1277
argued,1276
image,1276
seem,1274
average,1270
money,1269
generally,1269
students,1269
communication,1267
processes,1266
reasons,1261
status,1261
male,1261
related,1260
ensure,1259
appropriate,1258
reduce,1255
response,1253
europe,1253
never,1252
said,1251
types,1250
previous,1247
x,1246
graph,1245
technology,1243
mass,1243
became,1237
described,1236
carried,1233
patients,1233
final,1230
customer,1222
reduced,1219
believe,1217
highly,1217
next,1215
7,1213
foreign,1213
home,1212
poor,1210
organisation,1206
longer,1204
usually,1196
taking,1196
occur,1194
allow,1194
1994,1192
play,1191
staff,1184
day,1183
questions,1182
benefits,1181
workers,1181
quite,1180
across,1180
finally,1179
reaction,1178
cell,1176
book,1175
program,1175
basis,1172
becomes,1171
activities,1169
mind,1167
critical,1166
actually,1164
identified,1163
black,1163
protein,1161
open,1158
justice,1157
come,1155
almost,1154
short,1153
discussed,1151
say,1151
relatively,1150
share,1148
suggested,1148
aspects,1147
features,1140
word,1136
team,1134
overall,1133
turn,1130
argues,1130
theories,1128
relation,1123
d,1120
profit,1119
calculated,1119
review,1118
directly,1116
gain,1116
recent,1114
established,1114
access,1113
article,1111
off,1108
n,1108
characteristics,1106
policies,1106
uses,1104
initial,1102
variables,1099
politics,1097
increases,1093
along,1092
appear,1092
obtained,1088
third,1086
developing,1086
rules,1086
god,1086
income,1085
j,1084
basic,1083
page,1082
marketing,1081
domestic,1080
rise,1078
revolution,1078
distribution,1077
competition,1076
allows,1075
degree,1075
investment,1074
text,1073
me,1072
elements,1070
skills,1068
speech,1067
whereas,1066
content,1066
determine,1064
achieve,1064
sales,1063
explain,1063
looking,1060
go,1059
