ESSAY_ID,PRAISE,COMMENT
001,"Outstanding thesis statement.","It clearly previews the main reasons in the essay."
002,"A very impressive thesis statement.","It introduces the essay's balanced position on part-time jobs."
003,"Great work on your amazing thesis statement.","It states the main idea in a direct way."
004,"Outstanding thesis statement.","It sets up a clear balanced view of the topic."
005,"A very impressive thesis statement.","It gives the writer's opinion clearly."
006,"Great work on your amazing thesis statement.","It expresses a clear opinion about club activities."
007,"Outstanding thesis statement.","It includes a clear goal and previews the main points."
008,"A very impressive thesis statement.","It establishes the main topic of the essay effectively."
009,"Great work on your amazing thesis statement.","It clearly states the opinion and previews the body topics."
010,"Outstanding thesis statement.","It uses a clear goal with the phrase ""this essay will argue."""
