ESSAY_ID,PARA_NUM,SENTENCE,CORRECTION,COMMENTS
001,1,Wearable fitness devices can help healthier lifestyles by helping students monitor important daily habits a lot.,"Wearable fitness devices can support healthier lifestyles by helping students monitor important daily habits.","Replace awkward wording with the more natural phrase ""support healthier lifestyles"" and remove the unnecessary ""a lot""."
001,1,"Many of these things help count steps, record physical activity, and give reminders to move a lot during the day.","Many of these devices count steps, record physical activity, and send reminders to move during the day.","Replace vague and awkward wording (""things"", ""help count"", ""give reminders to move a lot"") with natural noun and verb choices."
001,1,"In addition, sleep tracking can help students notice patterns in bedtime, waking time, and rest quality.",none,none
001,1,"According to Knaus (2025), sleep trackers can help habits and help users identify things that influence rest, such as exercise or caffeine.","According to Knaus (2025), sleep trackers can increase awareness of habits and help users identify factors that influence rest, such as exercise or caffeine.","Use more natural academic wording by replacing repeated ""help"" and vague ""things""."
001,1,This kind of information may help students to make good changes in their routines.,"This kind of information may encourage students to make small but useful changes in their routines.","Use a more natural verb and more precise wording."
001,1,Wearable devices can cause problems with blood pressure.,none,none
001,1,"Wearable devices Wikipedia contributors (2026) also note that wearable technology is used a lot for health and fitness purposes, which shows that these devices are often linked to self-monitoring and personal improvement.","Wikipedia contributors (2026) also note that wearable technology is widely used for health and fitness purposes, which shows that these devices are often linked to self-monitoring and personal improvement.","Remove the broken opening phrase and replace the informal expression ""used a lot"" with the natural phrase ""widely used""."
001,1,"Therefore, wearable devices can be helpful because they make health information more visible in everyday life.",none,none
001,2,Wearable devices are also useful because they can reveal a lot of real patterns in student life that might be ignored.,"Wearable devices are also useful because they can reveal real patterns in student life that might otherwise be ignored.","Remove unnecessary wording and use the more natural phrase ""might otherwise be ignored""."
001,2,"I believe that sleep enough or exercise enough, but data from wearable devices show me a different things.","Many students believe that they sleep enough or exercise enough, but data from wearable devices can show a different picture.","Replace inconsistent first-person wording, correct the verb phrase, and use a natural object phrase."
001,2,"In one study, first-semester college students and found late sleep schedules, social jetlag, and signs of chronic sleep debt through wearable data.","Fudolig et al. (2024) studied first-semester college students and found late sleep schedules, social jetlag, and signs of chronic sleep debt through wearable data.","Add the missing subject and citation and complete the verb phrase."
001,2,"I agree because sometimes I don't eat breakfast in the morning.",none,none
001,2,"This finding is useful because it suggests that students often feel hard with rest even when they do not fully know the problem.","This finding is important because it suggests that students often struggle with rest even when they do not fully recognize the problem.","Replace awkward phrases with natural academic wording."
001,2,"Better awareness of sleep and activity patterns may help students improve focus, mood, and energy for study.",none,none
001,2,Its device can give students useful evidence about habits that affect learning.,"Although a wearable device cannot solve academic problems by itself, it can give students useful evidence about habits that affect learning.","Replace the incorrect opening phrase with a clear grammatical subject and complete the sentence naturally."
001,2,"In this way, wearable devices may support student success indirectly through greater self-awareness.",none,none
001,3,"However, wearable fitness devices also have serious limitations.",none,none
001,3,"First, they do not automatically create lasting behavior change.",none,none
001,3,"Oaklander (2016) reported that many people stop using fitness trackers over time, which suggests that the device alone is not enough to build long-term healthy habits.",none,none
001,3,"Second, wearable devices collect personal data, and this creates privacy concerns.",none,none
001,3,"Reed (2026) explained that connecting wearable information with medical records can expose sensitive health data and increase uncertainty about how such data is used.",none,none
001,3,"Finally, sleep tracking may create unnecessary anxiety instead of improving health.",none,none
001,3,"Colino (2025) described the problem of ""orthosomnia,"" in which people become so focused on perfect sleep scores that the pressure itself harms sleep.",none,none
001,3,Wearable devices should be treated as helpful tools rather than perfect guides.,"For this reason, wearable devices should be treated as helpful tools rather than perfect guides.","Add the missing transition so the final sentence reads naturally as a conclusion."
002,1,Part-time jobs can first help students manage the financial pressure of education.,none,none
002,1,Many students work not just for spending money.,none,none
002,1,"But need help covering rent, transport, food, and other daily costs.","Many students work not simply for spending money, but because they need help covering rent, transport, food, and other daily costs.","Add the missing subject and complete the contrast structure with ""but because""."
002,1,I also like watching movies in my spare time.,none,none
002,1,"Reporting on a big survey of undergraduate in the United Kingdom, *The Guardian* said that many working students said they were employed to meet living costs, which shows that paid work is often important rather than a lifestyle choice (The Guardian, 2024a).","Reporting on a large survey of undergraduates in the United Kingdom, *The Guardian* noted that most working students said they were employed to meet living costs, which shows that paid work is often a financial necessity rather than a lifestyle choice (The Guardian, 2024a).","Replace awkward wording such as ""big survey of undergraduate"" and repeated ""said"" with more natural academic phrasing."
002,1,"In the United States, Federal Student Aid (n.d.) said the existence of Federal Work-Study also shows that student employment is officially recognized as one way to support education costs.","In the United States, the existence of Federal Work-Study also shows that student employment is officially recognized as one way to support education costs (Federal Student Aid, n.d.).","Use a more natural sentence structure and place the citation in parenthetical form."
002,1,A reasonable amount of paid work can make student life more stable and reduce immediate money worries.,none,none
002,2,Part-time jobs can also teach practical skills that are difficult to gain from classroom study alone and are important.,"Part-time jobs can also teach practical skills that are difficult to gain from classroom study alone.","Remove the awkward extra phrase ""and are important""."
002,2,"Students who work must often learn punctuality, communication, teamwork, and responsibility in real situations.",none,none
002,2,"In addition, balancing deadlines, class attendance, and work shifts may make time-management habits stronger.","In addition, balancing deadlines, class attendance, and work shifts may strengthen time-management habits.","Replace the awkward phrase ""make time-management habits stronger"" with the natural verb ""strengthen""."
002,2,They can also learn to draw in their spare time.,none,none
002,2,"A 2025 article in the *Times of India* said that part-time work can build accountability, confidence, and workplace communication skills that formal study do not always teaching directly (Times of India, 2025).","A 2025 article in the *Times of India* argued that part-time work can build accountability, confidence, and workplace communication skills that formal study does not always teach directly (Times of India, 2025).","Correct the verb forms and replace the weaker reporting verb with a more natural academic choice."
002,2,Its lessons may help students after graduation because employers usually think both academic knowledge and evidence of dependable work behavior are important.,"These lessons may help students after graduation because employers usually expect both academic knowledge and evidence of dependable work behavior.","Replace the unclear pronoun ""Its"" with ""These"" and use the more natural verb ""expect""."
002,2,"A student who has already handled customers, coworkers, or supervisors may learn more quickly in a professional setting than a student with no work experience.",none,none
002,3,"However, the benefits of student employment become weaker when work hours are too long or the schedule is too rigid.",none,none
002,3,"This point is important because a part-time job should support education, not replace it.",none,none
002,3,"A second Guardian article on student budgeting and employment also said important to stay focused on academics and choose flexible work when possible, especially campus-based roles that fit study schedules easy.","A second Guardian article on student budgeting and employment also emphasized the importance of staying focused on academics and choosing flexible work when possible, especially campus-based roles that fit study schedules more easily.","Add the missing noun phrase and use more natural verb and adverb forms."
002,3,"Therefore, the main question is not whether students should ever work, but how much they should work and under what conditions.",none,none
003,1,One important reason to include AI in education is that it can reduce teacher workload and expand academic support.,none,none
003,1,"Gallup said that 6 in 10 U.S. public K-12 teachers used AI tools during the 2024-25 school year, and regular users estimated saving 5.9 hours per week, or about six weeks across a school year.","Gallup found that 6 in 10 U.S. public K-12 teachers used AI tools during the 2024-25 school year, and regular users estimated saving 5.9 hours per week, or about six weeks across a school year (Malek Ash, 2025).","Use the more natural reporting verb ""found"" and restore the missing citation."
003,1,"That time is important because teachers often spend many hours creating materials, changing lessons, and doing administrative work.","That time matters because teachers often spend many hours creating materials, adjusting lessons, and handling administrative work.","Replace awkward verb choices with more natural academic wording."
003,1,"If AI helps make worksheets or make materials for different student needs, teachers may spend more effort on feedback and direct instruction.","If AI helps draft worksheets or modify materials for different student needs, teachers may spend more energy on feedback and direct instruction.","Replace repeated and awkward verbs with more natural academic wording."
003,1,"UNESCO also said that generative AI may help curriculum design, teaching, and learning when its use is carefully validated (Miao & Holmes, 2023).","UNESCO also notes that generative AI may support curriculum design, teaching, and learning when its use is carefully validated (Miao & Holmes, 2023).","Use a more natural reporting verb and the more precise verb ""support""."
003,1,It can serve a productive role when they support the teacher rather than replacing the teacher.,"Therefore, AI can serve a productive role when it supports the teacher rather than replacing the teacher.","Fix the unclear pronoun agreement and add the missing concluding connector."
