ESSAY_ID,PRAISE,COMMENT,ADVICE
001,"Excellent work on your thesis statement.","It clearly states your main idea, your opinion, and the main points of the essay.","You could make the opening claim slightly more direct, but the thesis already works very well."
002,"Well done on your thesis statement.","Your introduction sets up the topic clearly, but it does not yet include a real thesis statement.","Add one sentence that states your opinion and previews the main benefits and drawbacks of part-time jobs."
003,"Well done on your thesis statement.","It gives the main idea clearly and shows your opinion.","Add a clear goal and preview the main topics you will discuss."
004,"Your thesis statement is very nicely written.","Your introduction introduces the issue clearly, but it does not yet give a clear thesis statement.","Add a sentence that states your opinion about social media and signals the main benefits and harms you will discuss."
005,"Your thesis statement is very nicely written.","It states the topic clearly and gives your opinion.","Add a clear goal and preview the specific reasons you will discuss."
006,"Excellent work on your thesis statement.","It presents the main idea and your opinion in a clear way.","Add a clear goal and preview the main points of your essay."
007,"Well done on your thesis statement.","It clearly gives the main idea, your opinion, and the main topics of the essay.","You could briefly acknowledge the healthy-food limitation in the thesis, but it is already strong."
008,"Excellent work on your thesis statement.","Your introduction establishes the topic well, but it does not yet state a clear thesis.","Add a sentence that gives your opinion and previews the essay's main points about global influence, cultural value, and industry pressure."
009,"Your thesis statement is very nicely written.","It clearly shows your main idea, opinion, and body topics.","Add a clearer essay goal such as ""This essay argues"" to make the purpose even more explicit."
010,"Well done on your thesis statement.","It shows your opinion and gives a clear goal for the essay.","Add the main idea more precisely and preview the key topics such as community, economic value, and environmental costs."
