ESSAY_ID,RESTATE_MAIN_IDEA,SUFFICIENT_SUMMARY,STRONG_FINAL_COMMENT,MAIN_IDEA,SUMMARY,FINAL_COMMENT
001,1,1,1,"wearable fitness devices can help students improve their health and study habits by making sleep and physical activity easier to track","They can increase awareness, reveal unhealthy routines, and encourage better daily choices. However, these devices also have clear weaknesses because they may not produce lasting change, they can threaten privacy, and they may create stress.","Students should therefore use wearable devices in a balanced and thoughtful way so that the technology supports healthy habits instead of controlling them."
002,0,0,0,"","",""
003,1,0,1,"AI should be used in education as a guided support tool, not as a replacement for teachers or student thinking","","Schools should adopt AI carefully, train teachers and students to use it responsibly, and keep human judgment at the center of learning."
004,1,0,0,"Social media should be understood as a powerful environment that can help adolescents but can also harm them when it is poorly designed or heavily used","",""
005,0,1,0,"","uniforms can support routine and school identity, yet they do not reliably improve learning or behavior. At the same time, they may create costs, limit expression, and even reduce comfort and activity.",""
006,1,1,1,"Club activities deserve support, but not because they magically improve every area of student life.","Their greatest strength is that they help students feel connected, supported, and motivated to remain engaged with school. At the same time, the research shows that academic gains are limited and that overscheduling can reduce the benefits.","When participation is balanced and purposeful, club activities become an important part of education rather than just an added burden."
007,0,1,0,"","their weak record on healthy food variety shows that convenience should not be confused with complete food security.",""
008,1,1,1,"Anime and manga are valuable precisely because they combine artistic imagination with global influence, but that strength should not be measured by profits alone.","Their growth has expanded Japan's cultural presence, supported tourism, and built a strong media ecosystem through the connection between printed and animated storytelling. At the same time, the industry depends on demanding labor and increasingly commercial formulas.","the future of anime and manga will be strongest if the industry balances worldwide expansion with healthier working conditions and greater room for creative risk."
009,0,0,1,"","","When games remain one part of a healthy routine, they can contribute something valuable; when they dominate daily life, the harms become much harder to ignore."
010,0,0,0,"","",""
