ESSAY_ID,BODY_PARA_NUM,ABLATED_ESSAY,ORIGINAL_ESSAY,SENTENCE_CHANGE,COHERENCE_TOPIC_SENTENCE_ERROR_ADDED,COHERENCE_LINGUISTIC_ERROR_ADDED,COHERENCE_PRONOUN_ERROR_ADDED,CITATION_ERROR_ADDED,GRAMMAR_ERROR_ADDED,WORDS_SIMPLIFIED
002,1,Part-time jobs can first help students manage the financial pressure of education.,Part-time jobs can first help students manage the financial pressure of education.,Correspond,0,0,0,0,0,0
002,1,Many students work not just for spending money.,"Many students work not simply for spending money, but because they need help covering rent, transport, food, and other daily costs.",Split,0,0,0,0,0,1
002,1,"But need help covering rent, transport, food, and other daily costs.","Many students work not simply for spending money, but because they need help covering rent, transport, food, and other daily costs.",Split,0,1,1,0,1,0
002,1,I also like watching movies in my spare time.,,New,1,1,1,0,0,0
002,1,"Reporting on a big survey of undergraduate in the United Kingdom, *The Guardian* said that many working students said they were employed to meet living costs, which shows that paid work is often important rather than a lifestyle choice (The Guardian, 2024a).","Reporting on a large survey of undergraduates in the United Kingdom, *The Guardian* noted that most working students said they were employed to meet living costs, which shows that paid work is often a financial necessity rather than a lifestyle choice (The Guardian, 2024a).",Correspond,0,0,0,0,0,1
002,1,"In the United States, Federal Student Aid (n.d.) said the existence of Federal Work-Study also shows that student employment is officially recognized as one way to support education costs.","In the United States, the existence of Federal Work-Study also shows that student employment is officially recognized as one way to support education costs (Federal Student Aid, n.d.).",Correspond,0,0,0,1,0,1
002,1,A reasonable amount of paid work can make student life more stable and reduce immediate money worries.,"Therefore, a reasonable amount of paid work can make student life more stable and reduce immediate money worries.",Correspond,0,1,0,0,0,0
002,2,Part-time jobs can also teach practical skills that are difficult to gain from classroom study alone and are important.,Part-time jobs can also teach practical skills that are difficult to gain from classroom study alone.,Correspond,0,0,0,0,0,0
002,2,"Students who work must often learn punctuality, communication, teamwork, and responsibility in real situations.","Students who work must often learn punctuality, communication, teamwork, and responsibility in real situations.",Correspond,0,0,0,0,0,0
002,2,"In addition, balancing deadlines, class attendance, and work shifts may make time-management habits stronger.","In addition, balancing deadlines, class attendance, and work shifts may strengthen time-management habits.",Correspond,0,0,0,0,0,1
002,2,They can also learn to draw in their spare time.,,New,1,1,0,0,0,0
