ESSAY_ID,CITATION,MISSING_REFERENCE
001,"Colino (2025) described the problem of ""orthosomnia,"" in which people become so focused on perfect sleep scores that the pressure itself harms sleep.",Reference missing for this citation
002,"In the United States, Federal Student Aid (n.d.) said the existence of Federal Work-Study also shows that student employment is officially recognized as one way to support education costs.",Reference missing for this citation
003,"Lee (2025) said that AI has changed the method of cheating more than the amount of cheating, which is an important distinction.",Reference missing for this citation
003,"In data from public and charter high schools, 11% of students in 2024 and 15% in 2025 reported using AI to complete an entire assignment, while larger numbers used it to generate ideas or revise work (Lee, 2025).",Reference missing for this citation
004,"The U.S. Department of Health and Human Services (2023) said young people use social media to find community and explore their identities.",Reference missing for this citation
004,"The Surgeon General's advisory said that many young people report feeling good (U.S. Department of Health and Human Services, 2023).",Reference missing for this citation
004,"The U.S. Department of Health and Human Services (2023) said that adolescents who spend more than three hours a day on social media may have double the risk of poor mental health outcomes.",Reference missing for this citation
004,"I don't assuming that adolescents alone can manage these risks (U.S. Department of Health and Human Services, 2023).",Reference missing for this citation
005,McCarthy (2024) said people believe uniforms can improve life.,Reference missing for this citation
005,"McCarthy (2024) noted that uniforms can place a big financial burden on families, especially when schools need specific things from approved sellers.",Reference missing for this citation
006,O'Flaherty et al. (2022) researched club activities.,Reference missing for this citation
007,Durbin (2025) reports that conveniece stores lose sales when SNAP benefits were delayed.,Reference missing for this citation
008,"Matt Alt (2025) showed that popular manga series are licensed for animation and then streamed internationally, creating a cycle in which books promote shows and shows promote books.",Reference missing for this citation
008,"Alt (2025) describes the world of *Weekly Shonen Jump* as one of relentless deadlines, intense reader rankings, and heavy physical and mental pressure on creators.",Reference missing for this citation
008,"In the same article, Alt argues that reader surveys and franchise logic can encourage sameness in content, even while they produce major hits.",Reference missing for this citation
009,"In addition, Lenhart (2015) found that 78% of teenagers felt more connected to people they already knew when they played online together.",Reference missing for this citation
010,"In New Zealand, Henry Oliver (2026) describes festivals as a cultural rite of passage.",Reference missing for this citation
010,"Money is also part of the problem, since Oliver (2026) notes that many independent festivals are struggling to survive.",Reference missing for this citation
