ESSAY_ID,SENTENCE_WITH_CITATION
007,"The U.S. Department of Agriculture's Economic Research Service explains that its Food Access Research Atlas measures supermarket accessibility and low-income, low-access census tracts across the United States (U.S. Department of Agriculture, Economic Research Service [USDA ERS], 2025)."
007,"According to an Associated Press report, about 14% of SNAP benefits in 2024 were spent at smaller grocery and convenience stores, which are often easier for beneficiaries to reach than large superstores (Durbin, 2025)."
007,"Durbin (2025) reports that small grocers and convenience stores felt an immediate sales decline when SNAP benefits were delayed, showing that these stores are closely tied to local household spending."
007,"Research on rural food environments found that grocery stores scored much higher than convenience stores on measures of healthy food availability, with grocery stores averaging far stronger nutrition environment scores than convenience stores (McCormack et al., 2021)."
010,"In New Zealand, Henry Oliver (2026) describes festivals as a cultural rite of passage and notes that they have long served as launch pads for emerging artists."
010,"According to Crossgrove Fry (2025), Treefort Music Fest 2025 supported 128.799 jobs, generated about $4.7 million in labor income, and produced roughly $15.8 million in output across Idaho."
010,"Leah Thomas (2023) shows that even a well-known festival such as Coachella requires extensive systems for trash, recycling, and composting, and that reducing plastic pollution demands deliberate policy changes."
010,"In addition, Jim Ottewill (2026) reports that festivals discussed in the UK Parliament generate 25,800 tonnes of waste, 22,876 tonnes of CO2, and use 185 million litres of water annually."
010,"Yet the same article offers evidence that improvement is possible: Massive Attack's 2024 Act 1.5 event reduced energy-related greenhouse gas emissions by 98 percent and achieved an 89 percent recycling rate (Ottewill, 2026)."
010,"Financial pressure is also part of the problem, since Oliver (2026) notes that many independent festivals are struggling to survive."
004,"According to the U.S. Department of Health and Human Services (2023), online spaces can help young people find community, explore their identities, and stay connected with friends."
004,"In addition, the Surgeon General's advisory notes that many young people report feeling more accepted and more supported because of social media use (U.S. Department of Health and Human Services, 2023)."
004,"Recent reporting on a Pew Research Center survey also shows that many teens still see social media as a place for friendship and creativity, even while recognizing its weaknesses (*The Washington Post*, 2025)."
004,"The U.S. Department of Health and Human Services (2023) reports that adolescents who spend more than three hours a day on social media may face double the risk of poor mental health outcomes, including symptoms of anxiety and depression."
004,"The same advisory highlights concerns about cyberbullying, harmful content, poor sleep, and body image pressure."
004,"*The Washington Post* (2025) reports that 48% of teens now believe social media has a mostly negative effect on people their age, and 45% say they spend too much time on it."
004,"Alluhidan et al. (2024) found that adolescents described negative experiences most often, yet they also used social media to seek connection, support, and information."
004,"The Surgeon General's advisory similarly argues for collective action from policymakers, companies, caregivers, and young people rather than assuming that adolescents alone can manage these risks (U.S. Department of Health and Human Services, 2023)."
