ESSAY_ID,PARA_NUM,SENTENCE,PRONOUN_ISSUE,RECOMMENDATION
001,1,Wearable fitness devices can help healthier lifestyles by helping students monitor important daily habits a lot.,None,No change needed.
001,1,"Many of these things help count steps, record physical activity, and give reminders to move a lot during the day.",The phrase "these things" is vague and does not clearly refer back to the devices.,"Many of these devices count steps, record physical activity, and send reminders to move during the day."
001,1,"In addition, sleep tracking can help students notice patterns in bedtime, waking time, and rest quality.",None,No change needed.
001,1,"According to Knaus (2025), sleep trackers can help habits and help users identify things that influence rest, such as exercise or caffeine.",None,No change needed.
001,1,This kind of information may help students to make good changes in their routines.,None,No change needed.
001,1,Wearable devices can cause problems with blood pressure.,None,No change needed.
001,1,"Wearable devices Wikipedia contributors (2026) also note that wearable technology is used a lot for health and fitness purposes, which shows that these devices are often linked to self-monitoring and personal improvement.",None,No change needed.
001,1,"Therefore, wearable devices can be helpful because they make health information more visible in everyday life.",None,No change needed.
001,2,Wearable devices are also useful because they can reveal a lot of real patterns in student life that might be ignored.,None,No change needed.
001,2,"I believe that sleep enough or exercise enough, but data from wearable devices show me a different things.","The sentence shifts to first person (""I"", ""me""), which is inconsistent with the essay's academic tone and with the general reference to students.","Many students believe that they sleep enough or exercise enough, but data from wearable devices can show a different picture."
001,2,"In one study, first-semester college students and found late sleep schedules, social jetlag, and signs of chronic sleep debt through wearable data.",None,No change needed.
001,2,"I agree because sometimes I don't eat breakfast in the morning.","The first-person pronouns ""I"" and ""I"" introduce a personal anecdote instead of maintaining a consistent academic perspective.","For example, some students may also have other unhealthy routines, such as skipping breakfast."
001,2,"This finding is useful because it suggests that students often feel hard with rest even when they do not fully know the problem.",None,No change needed.
001,2,"Better awareness of sleep and activity patterns may help students improve focus, mood, and energy for study.",None,No change needed.
001,2,Its device can give students useful evidence about habits that affect learning.,"The possessive pronoun ""Its"" is unclear and does not match the intended noun reference.","A wearable device can give students useful evidence about habits that affect learning."
001,2,"In this way, wearable devices may support student success indirectly through greater self-awareness.",None,No change needed.
001,3,"However, wearable fitness devices also have serious limitations.",None,No change needed.
001,3,"First, they do not automatically create lasting behavior change.",None,No change needed.
001,3,"Oaklander (2016) reported that many people stop using fitness trackers over time, which suggests that the device alone is not enough to build long-term healthy habits.",None,No change needed.
001,3,"Second, wearable devices collect personal data, and this creates privacy concerns.",None,No change needed.
001,3,"Reed (2026) explained that connecting wearable information with medical records can expose sensitive health data and increase uncertainty about how such data is used.",None,No change needed.
001,3,"Finally, sleep tracking may create unnecessary anxiety instead of improving health.",None,No change needed.
001,3,"Colino (2025) described the problem of ""orthosomnia,"" in which people become so focused on perfect sleep scores that the pressure itself harms sleep.",None,No change needed.
001,3,Wearable devices should be treated as helpful tools rather than perfect guides.,None,No change needed.
002,1,Part-time jobs can first help students manage the financial pressure of education.,None,No change needed.
002,1,Many students work not just for spending money.,None,No change needed.
002,1,"But need help covering rent, transport, food, and other daily costs.",None,No change needed.
002,1,I also like watching movies in my spare time.,"The first-person pronoun ""I"" is inconsistent with the essay's academic focus on students in general.","Students also spend their spare time on personal activities, but this point should be omitted here because it is off topic."
002,1,"Reporting on a big survey of undergraduate in the United Kingdom, *The Guardian* said that many working students said they were employed to meet living costs, which shows that paid work is often important rather than a lifestyle choice (The Guardian, 2024a).",None,No change needed.
002,1,"In the United States, Federal Student Aid (n.d.) said the existence of Federal Work-Study also shows that student employment is officially recognized as one way to support education costs.",None,No change needed.
002,1,A reasonable amount of paid work can make student life more stable and reduce immediate money worries.,None,No change needed.
002,2,Part-time jobs can also teach practical skills that are difficult to gain from classroom study alone and are important.,None,No change needed.
002,2,"Students who work must often learn punctuality, communication, teamwork, and responsibility in real situations.",None,No change needed.
002,2,"In addition, balancing deadlines, class attendance, and work shifts may make time-management habits stronger.",None,No change needed.
002,2,They can also learn to draw in their spare time.,"The pronoun ""They"" has a possible antecedent in students, but the sentence shifts away from the paragraph's work-skill focus and is not a clear continuation.","Students can also develop hobbies in their spare time, but this sentence should be removed from this paragraph."
002,2,"A 2025 article in the *Times of India* said that part-time work can build accountability, confidence, and workplace communication skills that formal study do not always teaching directly (Times of India, 2025).",None,No change needed.
002,2,Its lessons may help students after graduation because employers usually think both academic knowledge and evidence of dependable work behavior are important.,"The possessive pronoun ""Its"" is unclear and should refer back to the plural lessons described in the previous sentence.","These lessons may help students after graduation because employers usually expect both academic knowledge and evidence of dependable work behavior."
002,2,"A student who has already handled customers, coworkers, or supervisors may learn more quickly in a professional setting than a student with no work experience.",None,No change needed.
002,3,"However, the benefits of student employment become weaker when work hours are too long or the schedule is too rigid.",None,No change needed.
002,3,"This point is important because a part-time job should support education, not replace it.",None,No change needed.
002,3,"A second Guardian article on student budgeting and employment also said important to stay focused on academics and choose flexible work when possible, especially campus-based roles that fit study schedules easy.",None,No change needed.
002,3,"Therefore, the main question is not whether students should ever work, but how much they should work and under what conditions.",None,No change needed.
003,1,One important reason to include AI in education is that it can reduce teacher workload and expand academic support.,None,No change needed.
003,1,"Gallup said that 6 in 10 U.S. public K-12 teachers used AI tools during the 2024-25 school year, and regular users estimated saving 5.9 hours per week, or about six weeks across a school year.",None,No change needed.
003,1,"That time is important because teachers often spend many hours creating materials, changing lessons, and doing administrative work.",None,No change needed.
003,1,"If AI helps make worksheets or make materials for different student needs, teachers may spend more effort on feedback and direct instruction.",None,No change needed.
003,1,"UNESCO also said that generative AI may help curriculum design, teaching, and learning when its use is carefully validated (Miao & Holmes, 2023).",None,No change needed.
