ESSAY_ID,SENTENCE_WITH_CITATION,CORRESPONDING_REFERENCE
001,"According to Knaus (2025), sleep trackers can help habits and help users identify things that influence rest, such as exercise or caffeine.",1
001,"Wearable devices Wikipedia contributors (2026) also note that wearable technology is used a lot for health and fitness purposes, which shows that these devices are often linked to self-monitoring and personal improvement.",1
001,"Oaklander (2016) reported that many people stop using fitness trackers over time, which suggests that the device alone is not enough to build long-term healthy habits.",1
001,"Reed (2026) explained that connecting wearable information with medical records can expose sensitive health data and increase uncertainty about how such data is used.",1
001,"Colino (2025) described the problem of ""orthosomnia,"" in which people become so focused on perfect sleep scores that the pressure itself harms sleep.",0
002,"Reporting on a big survey of undergraduate in the United Kingdom, *The Guardian* said that many working students said they were employed to meet living costs, which shows that paid work is often important rather than a lifestyle choice (The Guardian, 2024a).",1
002,"In the United States, Federal Student Aid (n.d.) said the existence of Federal Work-Study also shows that student employment is officially recognized as one way to support education costs.",0
002,"A 2025 article in the *Times of India* said that part-time work can build accountability, confidence, and workplace communication skills that formal study do not always teaching directly (Times of India, 2025).",1
003,"UNESCO also said that generative AI may help curriculum design, teaching, and learning when its use is carefully validated (Miao & Holmes, 2023).",1
003,"Lee (2025) said that AI has changed the method of cheating more than the amount of cheating, which is an important distinction.",0
003,"In data from public and charter high schools, 11% of students in 2024 and 15% in 2025 reported using AI to complete an entire assignment, while larger numbers used it to generate ideas or revise work (Lee, 2025).",0
003,"UNESCO said that the not enough to regulation leaves institutions unprepared and users unprotected (Miao & Holmes, 2023).",1
003,"The AI Education Project's aiEDU Pulse found that more than 80% of educators wanted AI-related professional development, while 75% supported teaching students about AI itself (AI Education Project, 2024).",1
003,"At the same time, 56.9% believed AI was more likely to widen achievement gaps than narrow them (AI Education Project, 2024).",1
003,"UNESCO's guidance supports this approach by calling for privacy protection, ethical validation, and age-appropriate policy frameworks (Miao & Holmes, 2023).",1
004,"The U.S. Department of Health and Human Services (2023) said young people use social media to find community and explore their identities.",0
004,"The Surgeon General's advisory said that many young people report feeling good (U.S. Department of Health and Human Services, 2023).",0
004,"The U.S. Department of Health and Human Services (2023) said that adolescents who spend more than three hours a day on social media may have double the risk of poor mental health outcomes.",0
004,"*The Washington Post* (2025) said that 48% of teens now think social media have a mostly negative effect on people their age, and 45% say they spend too much time on it.",1
004,"Alluhidan et al. (2024) said that adolescents said about negative experiences most often.",1
004,"I don't assuming that adolescents alone can manage these risks (U.S. Department of Health and Human Services, 2023).",0
005,"McCarthy (2024) said people believe uniforms can improve life.",0
005,"In a report on France's recent school uniform experiment, Piquet (2026) said that an official assessment released on May 12, 2026 found only limited effects on student behavior and learning, with mixed results for the school climate.",1
005,"McCarthy (2024) noted that uniforms can place a big financial burden on families, especially when schools need specific things from approved sellers.",0
005,"Weale (2024) said about Cambridge research suggesting that uniforms may reduce physical activity among younger children, especially girls.",1
006,"In general, club activities are organized school-related experiences outside school work and they have clubs, arts, and sports (Wikipedia contributors, 2025).",0
006,"O'Flaherty et al. (2022) researched club activities.",0
006,"Owens and Weiss (2017) said young people don't get enough sleep because of club activities, lots of homework and go to school early.",0
006,"Fagan et al. (2022) found that non-competitive school sport stop drug use, but other sport was not clear.",1
007,"The U.S. Department of Agriculture's Economic Research Service explains that its Food Access Research Atlas measures how easy low-income people can reach supermarkets (U.S. Department of Agriculture, Economic Research Service [USDA ERS], 2025).",1
007,"Durbin (2025) reports that conveniece stores lose sales when SNAP benefits were delayed.",0
007,"Supermarkets have more stronger nutritious food than convenience stores (McCormack et al., 2021).",1
008,"The *Financial Times* showed that the global anime market reached 3.4 trillion yen in 2023, and more than half of anime revenue came from outside Japan (Financial Times, 2025).",1
008,"Matt Alt (2025) showed that popular manga series are licensed for animation and then streamed internationally, creating a cycle in which books promote shows and shows promote books.",0
008,"According to the Anime Tourism Association, its mission is to organize ""Japanese Anime 88-Spots"" and connect local regions, companies, and content holders in order to welcome tourists and encourage new economic growth (Anime Tourism Association, n.d.).",1
008,"Alt (2025) describes the world of *Weekly Shonen Jump* as one of relentless deadlines, intense reader rankings, and heavy physical and mental pressure on creators.",0
008,"In the same article, Alt argues that reader surveys and franchise logic can encourage sameness in content, even while they produce major hits.",0
009,"Mayer (2022) reports on a JAMA Network Open study of more than 2,200 children ages only nine and ten and he found that children who played video games had stronger performance on memory tests.",1
009,"This information does not prove that video games caused brain development (Mayer, 2022).",1
009,"In addition, Lenhart (2015) found that 78% of teenagers felt more connected to people they already knew when they played online together.",0
009,"The World Health Organization (n.d.) also recognizes sometimes people continue to play games even if it has negative effects on them.",1
010,"In New Zealand, Henry Oliver (2026) describes festivals as a cultural rite of passage.",0
010,"Leah Thomas (2023) shows that even a well-known festival such as Coachella needs many systems for trash, and reducing plastic pollution needs policy changes.",1
010,"In addition, Jim Ottewill (2026) reports that festivals discussed in the UK Parliament generate 25,800 tonnes of waste, 22,876 tonnes of CO2, and use 185 million litres of water every year.",1
010,"The same article offers evidence that improvement is possible: Massive Attack's 2024 Act 1.5 event reduced energy-related greenhouse gas emissions by 98 percent and made an 89 percent recycling rate (Ottewill, 2026).",1
010,"Money is also part of the problem, since Oliver (2026) notes that many independent festivals are struggling to survive.",0
